slug,section,label,value
woon-ho-family-care-centre,policies,Visiting hours,Not published — call to confirm
woon-ho-family-care-centre,policies,Deposit required,Not published
woon-ho-family-care-centre,policies,Minimum stay,Not published
woon-ho-family-care-centre,policies,Payment frequency,Not published
woon-ho-family-care-centre,policies,Refund policy,Not published
woon-ho-family-care-centre,policies,JKM registration #,Not published — ask on visit
woon-ho-family-care-centre,policies,AGECOPE member,Yes
woon-ho-family-care-centre,policies,Office hours,"Mon–Sun, 11am–6pm"
woon-ho-family-care-centre,rooms,Single room (RM/mo),Not published
woon-ho-family-care-centre,rooms,2-bed room (RM/mo),Not published
woon-ho-family-care-centre,rooms,4-bed room (RM/mo),Not published
woon-ho-family-care-centre,rooms,Air-conditioning,Not stated
woon-ho-family-care-centre,rooms,En-suite bathroom,Not stated
woon-ho-family-care-centre,rooms,Call button,Not stated
woon-ho-family-care-centre,included,4 nutritious meals daily,yes
woon-ho-family-care-centre,included,24-hour caregiver coverage,yes
woon-ho-family-care-centre,included,Doctor consultations × 2 / month,yes
woon-ho-family-care-centre,included,Basic nursing care,yes
woon-ho-family-care-centre,included,Medication administration,yes
woon-ho-family-care-centre,included,Activities & social events,yes
woon-ho-family-care-centre,included,CCTV monitoring,yes
woon-ho-family-care-centre,included,Outdoor compound & garden access,yes
woon-ho-family-care-centre,extras,Diapers,Not declared
woon-ho-family-care-centre,extras,Medication / pharmacy,Not declared
woon-ho-family-care-centre,extras,Doctor visits beyond 2/month,Likely billed
woon-ho-family-care-centre,extras,Milk feeds / supplements,Not declared
woon-ho-family-care-centre,extras,Wound dressings,Not declared
woon-ho-family-care-centre,extras,Physiotherapy sessions,Not declared
woon-ho-family-care-centre,extras,Transport / ambulance,Not declared
woon-ho-family-care-centre,clinical,Wound dressing,yes
woon-ho-family-care-centre,clinical,Catheter management,yes
woon-ho-family-care-centre,clinical,Tube feeding (NG/PEG type unspecified),yes
woon-ho-family-care-centre,clinical,Stroke rehabilitation,yes
woon-ho-family-care-centre,clinical,Dementia: sensory & cognition stimulation,yes
woon-ho-family-care-centre,clinical,Reminiscence therapy,yes
woon-ho-family-care-centre,clinical,Palliative care framework,yes
woon-ho-family-care-centre,clinical,Oxygen therapy,Not stated
woon-ho-family-care-centre,clinical,Tracheostomy care,Not stated
woon-ho-family-care-centre,clinical,Dialysis transport,Not stated
woon-ho-family-care-centre,clinical,Syringe driver (palliative),Not stated
woon-ho-family-care-centre,staffing,RN on site overnight,Not confirmed
woon-ho-family-care-centre,staffing,Caregiver:resident ratio (day),Not published
woon-ho-family-care-centre,staffing,Caregiver:resident ratio (night),Not published
woon-ho-family-care-centre,staffing,Doctor visits,"2 / month included, on-call thereafter"
woon-ho-family-care-centre,staffing,Physiotherapy,Available — frequency not stated
woon-ho-family-care-centre,staffing,Occupational therapy,Not stated
woon-ho-family-care-centre,dining,Meals per day,4
woon-ho-family-care-centre,dining,Nutritionally planned,Yes
woon-ho-family-care-centre,dining,Halal certified,Not declared
woon-ho-family-care-centre,dining,Diabetic diet,Not stated
woon-ho-family-care-centre,dining,Soft / pureed diet,Not stated
woon-ho-family-care-centre,dining,Family meals on-site,Not stated
woon-ho-family-care-centre,activities,Regular exercise sessions,yes
woon-ho-family-care-centre,activities,Social events & entertainment,yes
woon-ho-family-care-centre,activities,Sensory stimulation,yes
woon-ho-family-care-centre,activities,Cognitive activities,yes
woon-ho-family-care-centre,activities,Daily schedule,Not published
woon-ho-family-care-centre,activities,Religious observance,Not stated
woon-ho-family-care-centre,outdoor,Compound size,"21,800 sqft"
woon-ho-family-care-centre,outdoor,Lawn garden / patio,yes
woon-ho-family-care-centre,outdoor,Walking paths,yes
woon-ho-family-care-centre,outdoor,Grab bars in bathrooms & hallways,yes
woon-ho-family-care-centre,outdoor,Non-slip flooring,yes
woon-ho-family-care-centre,outdoor,Bed alarms,yes
woon-ho-family-care-centre,outdoor,"Walkers, wheelchairs, shower seats provided",yes
woon-ho-family-care-centre,services,24/7 ambulance / emergency escort,yes
woon-ho-family-care-centre,services,CCTV monitoring (interior & exterior),yes
woon-ho-family-care-centre,services,Laundry,Not stated
woon-ho-family-care-centre,services,Housekeeping,Not stated
woon-ho-family-care-centre,services,Hairdressing,Not stated
woon-ho-family-care-centre,services,Resident transport,Not stated
woon-ho-family-care-centre,nearby,Hospital Sultanah Aminah (govt),~12 km
woon-ho-family-care-centre,nearby,Columbia Asia Hospital Tebrau,~8 km
woon-ho-family-care-centre,nearby,KPJ Bandar Dato' Onn,~7 km
woon-ho-family-care-centre,nearby,AEON Tebrau City,~6 km
woon-ho-family-care-centre,nearby,Tebrau Highway access,~3 km
woon-ho-family-care-centre,nearby,Mosque / Buddhist temple,within Kempas Baru
woon-ho-family-care-centre,checklist,Ask for JKM registration certificate,
woon-ho-family-care-centre,checklist,Itemised price quote (room type + extras),
woon-ho-family-care-centre,checklist,Caregiver:resident ratio day & night,
woon-ho-family-care-centre,checklist,Whether RN is on-site overnight,
woon-ho-family-care-centre,checklist,Halal kitchen confirmation,
woon-ho-family-care-centre,checklist,Refund / early-discharge policy,
woon-ho-family-care-centre,checklist,Hospital escalation pathway,
